"Year","Title","Budget","Worldwide","Release","Duration","MPAA.Rating","IMDB.Rating","Genre","Award","Nomination","MPAA.Category","Month","Profitability","CPI","Profitability.Adjusted","Worldwide.Adjusted","Budget.Adjusted"
"2019","U.S. Marshals",6e+07,57833603,"6/3/2019",131,"PG-13",6.5,"Action",0,0,"TV-MA",3,-2166397,255.7,-3216885.67305459,85877190.9819977,89094076.6550523
"2019","Armageddon",1.4e+08,554600000,"1/7/2019",151,"PG-13",6.7,"Action",0,0,"TV-MA",7,414600000,255.7,615640069.686411,823526248.5482,207886178.861789
"2019","A Low Down Dirty Shame",1e+07,29317886,"23/11/2019",108,"R",5.9,"Action",0,0,"X",11,19317886,255.7,28685153.601626,43534166.3774681,14849012.775842
"2019","Mr. Holland’s Opus",3.1e+07,106282604,"29/12/2019",143,"PG",7.3,"Drama",0,0,"PG",12,75282604,255.7,111787234.859466,157819174.464576,46031939.6051103
"2019","Frankenstein",4.5e+07,112006296,"4/11/2019",70,"Passed",6.3,"Drama",0,0,"PG",11,67006296,255.7,99497734.5365854,166318292.027875,66820557.4912892
"2019","Bride of Chucky",2.5e+07,50692188,"16/10/2019",89,"R",5.5,"Comedy",0,0,"X",10,25692188,255.7,38150362.7851336,75272894.7247387,37122531.9396051
"2019","You’ve Got Mail",6.5e+07,250800000,"18/12/2019",119,"PG",6.7,"Comedy",0,0,"PG",12,185800000,255.7,275894657.375145,372413240.418118,96518583.0429733
"2019","Things to Do in Denver when You're Dead",1.5e+07,529766,"1/12/2019",115,"R",6.7,"Crime",0,0,"X",12,-14470234,255.7,-21486868.9535424,786650.210220674,22273519.1637631
"2019","She's All That",1e+07,63465522,"29/1/2019",95,"PG-13",5.9,"Comedy",0,0,"TV-MA",1,53465522,255.7,79391021.9245064,94240034.7003484,14849012.775842
"2019","200 Cigarettes",6e+06,6852450,"26/2/2019",101,"R",5.9,"Comedy",0,0,"X",2,852450,255.7,1265804.09407666,10175211.7595819,8909407.66550523
"2019","The Shawshank Redemption",2.5e+07,28419159,"23/9/2019",142,"R",9.3,"Drama",0,0,"X",9,3419159,255.7,5077113.56736353,42199645.5069686,37122531.9396051
"2019","The Mighty Ducks",1e+07,50752337,"2/10/2019",104,"PG",6.5,"Comedy",0,0,"PG",10,40752337,255.7,60513197.275842,75362210.0516841,14849012.775842
